"seq_number","Project","ndetections","max_Occupancy_prob","sum.taxonomy"
"merged_fishcard_12S_all_143","Taylor",30,0.999999343897505,NA
"merged_fishcard_12S_all_144","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Mycteroperca;"
"merged_fishcard_12S_all_146","Taylor",1,0.644483826915621,NA
"merged_fishcard_12S_all_147","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax"
"merged_fishcard_12S_all_148","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Molidae;Mola;Mola mola"
"merged_fishcard_12S_all_15","Taylor",8,0.869528477368332,"Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Ctenopharyngodon;Ctenopharyngodon idella"
"merged_fishcard_12S_all_150","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica"
"merged_fishcard_12S_all_151","Taylor",12,0.95201303927824,NA
"merged_fishcard_12S_all_152","Taylor",12,0.95201303927824,"Eukaryota;Chordata;Actinopteri;Perciformes;Scorpaenidae;Scorpaenodes;Scorpaenodes xyris"
"merged_fishcard_12S_all_153","Taylor",21,0.997652448519003,NA
"merged_fishcard_12S_all_154","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;;;;"
"merged_fishcard_12S_all_155","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Mycteroperca;"
"merged_fishcard_12S_all_156","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Decapterus;Decapterus muroadsi"
"merged_fishcard_12S_all_157","Taylor",29,0.999995461000972,NA
"merged_fishcard_12S_all_158","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;;"
"merged_fishcard_12S_all_159","Taylor",7,0.830812408311128,NA
"merged_fishcard_12S_all_16","Taylor",29,0.999995461000972,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;"
"merged_fishcard_12S_all_160","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;;;;"
"merged_fishcard_12S_all_161","Taylor",19,0.994804103787489,NA
"merged_fishcard_12S_all_162","Taylor",13,0.965099160379335,NA
"merged_fishcard_12S_all_163","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus"
"merged_fishcard_12S_all_164","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus"
"merged_fishcard_12S_all_165","Taylor",1,0.644483826915621,NA
"merged_fishcard_12S_all_166","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus"
"merged_fishcard_12S_all_167","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus tshawytscha"
"merged_fishcard_12S_all_169","Taylor",14,0.968434899515157,NA
"merged_fishcard_12S_all_17","Taylor",36,0.999999999998287,NA
"merged_fishcard_12S_all_170","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus"
"merged_fishcard_12S_all_171","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Ophidiiformes;Bythitidae;Cataetyx;Cataetyx rubrirostris"
"merged_fishcard_12S_all_173","Taylor",22,0.998951283939722,NA
"merged_fishcard_12S_all_174","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Mycteroperca;"
"merged_fishcard_12S_all_175","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Labrisomus;Labrisomus xanti"
"merged_fishcard_12S_all_176","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Gobiesox;Gobiesox rhessodon"
"merged_fishcard_12S_all_177","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Rimicola;Rimicola muscarum"
"merged_fishcard_12S_all_178","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Choerodon;Choerodon anchorago"
"merged_fishcard_12S_all_179","Taylor",32,0.999994589018844,NA
"merged_fishcard_12S_all_18","Taylor",36,0.999999999998287,"Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis"
"merged_fishcard_12S_all_181","Taylor",3,0.681772184882116,"Eukaryota;Chordata;Actinopteri;;;;"
"merged_fishcard_12S_all_183","Taylor",20,0.996701460025119,NA
"merged_fishcard_12S_all_184","Taylor",1,0.644483826915621,NA
"merged_fishcard_12S_all_186","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Amblygaster;Amblygaster sirm"
"merged_fishcard_12S_all_187","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;"
"merged_fishcard_12S_all_188","Taylor",26,0.99981339208604,NA
"merged_fishcard_12S_all_19","Taylor",12,0.95201303927824,"Eukaryota;Chordata;Actinopteri;;;;"
"merged_fishcard_12S_all_190","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Syngnathiformes;Syngnathidae;Syngnathus;Syngnathus leptorhynchus"
"merged_fishcard_12S_all_191","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax"
"merged_fishcard_12S_all_192","Taylor",4,0.715713817592095,"Eukaryota;Chordata;Actinopteri;Anguilliformes;;;"
"merged_fishcard_12S_all_193","Taylor",31,0.999998786318631,NA
"merged_fishcard_12S_all_194","Taylor",3,0.681772184882116,NA
"merged_fishcard_12S_all_195","Taylor",3,0.681772184882116,"Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis"
"merged_fishcard_12S_all_196","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;;;;"
"merged_fishcard_12S_all_198","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_199","Taylor",13,0.965099160379335,NA
"merged_fishcard_12S_all_2","Taylor",16,0.983823077932364,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus"
"merged_fishcard_12S_all_20","Taylor",23,0.999146959955164,"Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax mordax"
"merged_fishcard_12S_all_200","Taylor",10,0.909231650674222,NA
"merged_fishcard_12S_all_203","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;"
"merged_fishcard_12S_all_205","Taylor",3,0.681772184882116,NA
"merged_fishcard_12S_all_206","Taylor",10,0.909231650674222,NA
"merged_fishcard_12S_all_207","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;"
"merged_fishcard_12S_all_208","Taylor",22,0.998951283939722,NA
"merged_fishcard_12S_all_209","Taylor",1,0.644483826915621,NA
"merged_fishcard_12S_all_21","Taylor",24,0.999515743553185,"Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus"
"merged_fishcard_12S_all_210","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Microlepidotus;Microlepidotus inornatus"
"merged_fishcard_12S_all_211","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus"
"merged_fishcard_12S_all_212","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"merged_fishcard_12S_all_213","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"merged_fishcard_12S_all_215","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax mordax"
"merged_fishcard_12S_all_216","Taylor",11,0.936658740177059,NA
"merged_fishcard_12S_all_217","Taylor",8,0.869528477368332,NA
"merged_fishcard_12S_all_218","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Scarus;Scarus niger"
"merged_fishcard_12S_all_219","Taylor",3,0.681772184882116,NA
"merged_fishcard_12S_all_22","Taylor",33,0.999999883835049,NA
"merged_fishcard_12S_all_220","Taylor",4,0.715713817592095,NA
"merged_fishcard_12S_all_221","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis"
"merged_fishcard_12S_all_222","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;;;;"
"merged_fishcard_12S_all_223","Taylor",1,0.644483826915621,NA
"merged_fishcard_12S_all_224","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus xanthopterus"
"merged_fishcard_12S_all_225","Taylor",11,0.936658740177059,NA
"merged_fishcard_12S_all_227","Taylor",18,0.992570076514124,NA
"merged_fishcard_12S_all_228","Taylor",14,0.968434899515157,NA
"merged_fishcard_12S_all_229","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Lutjaniformes;;;"
"merged_fishcard_12S_all_23","Taylor",36,0.999999999998287,NA
"merged_fishcard_12S_all_231","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;"
"merged_fishcard_12S_all_232","Taylor",4,0.715713817592095,NA
"merged_fishcard_12S_all_233","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;;;;"
"merged_fishcard_12S_all_234","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Hermosilla;Hermosilla azurea"
"merged_fishcard_12S_all_235","Taylor",6,0.802396160540849,NA
"merged_fishcard_12S_all_236","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"merged_fishcard_12S_all_237","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Hermosilla;Hermosilla azurea"
"merged_fishcard_12S_all_238","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus tshawytscha"
"merged_fishcard_12S_all_24","Taylor",17,0.989910153229993,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Hypsoblennius;Hypsoblennius jenkinsi"
"merged_fishcard_12S_all_240","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;;;;"
"merged_fishcard_12S_all_242","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Perciformes;Stichaeidae;Chirolophis;Chirolophis decoratus"
"merged_fishcard_12S_all_243","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Mycteroperca;"
"merged_fishcard_12S_all_244","Taylor",5,0.763631672827674,NA
"merged_fishcard_12S_all_245","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"merged_fishcard_12S_all_246","Taylor",7,0.830812408311128,NA
"merged_fishcard_12S_all_247","Taylor",4,0.715713817592095,NA
"merged_fishcard_12S_all_248","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis"
"merged_fishcard_12S_all_25","Taylor",17,0.989910153229993,"Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis"
"merged_fishcard_12S_all_250","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Dasyatidae;Pteroplatytrygon;Pteroplatytrygon violacea"
"merged_fishcard_12S_all_251","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Seriola;Seriola lalandi"
"merged_fishcard_12S_all_252","Taylor",17,0.989910153229993,NA
"merged_fishcard_12S_all_253","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus"
"merged_fishcard_12S_all_254","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Leuresthes;Leuresthes tenuis"
"merged_fishcard_12S_all_255","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Paraclinus;Paraclinus integripinnis"
"merged_fishcard_12S_all_256","Taylor",3,0.681772184882116,"Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Clinocottus;Clinocottus analis"
"merged_fishcard_12S_all_257","Taylor",17,0.989910153229993,NA
"merged_fishcard_12S_all_258","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Gallus;Gallus gallus"
"merged_fishcard_12S_all_259","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus tshawytscha"
"merged_fishcard_12S_all_260","Taylor",13,0.965099160379335,NA
"merged_fishcard_12S_all_261","Taylor",6,0.802396160540849,NA
"merged_fishcard_12S_all_264","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;;;;"
"merged_fishcard_12S_all_265","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"merged_fishcard_12S_all_266","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;;;;"
"merged_fishcard_12S_all_267","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni"
"merged_fishcard_12S_all_268","Taylor",27,0.999811625145236,NA
"merged_fishcard_12S_all_269","Taylor",6,0.802396160540849,NA
"merged_fishcard_12S_all_27","Taylor",21,0.997652448519003,NA
"merged_fishcard_12S_all_270","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;;;;"
"merged_fishcard_12S_all_271","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis"
"merged_fishcard_12S_all_273","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus tshawytscha"
"merged_fishcard_12S_all_275","Taylor",8,0.869528477368332,NA
"merged_fishcard_12S_all_277","Taylor",20,0.996701460025119,NA
"merged_fishcard_12S_all_278","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"merged_fishcard_12S_all_28","Taylor",32,0.999994589018844,NA
"merged_fishcard_12S_all_280","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans"
"merged_fishcard_12S_all_281","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;Melichthys;Melichthys niger"
"merged_fishcard_12S_all_283","Taylor",7,0.830812408311128,NA
"merged_fishcard_12S_all_285","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica"
"merged_fishcard_12S_all_287","Taylor",14,0.968434899515157,NA
"merged_fishcard_12S_all_289","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"merged_fishcard_12S_all_29","Taylor",15,0.979406053250658,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus"
"merged_fishcard_12S_all_290","Taylor",3,0.681772184882116,NA
"merged_fishcard_12S_all_291","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Lutjaniformes;;;"
"merged_fishcard_12S_all_292","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus"
"merged_fishcard_12S_all_296","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;Beloniformes;Belonidae;Cololabis;Cololabis saira"
"merged_fishcard_12S_all_299","Taylor",9,0.893546946915494,NA
"merged_fishcard_12S_all_3","Taylor",34,0.99999999966004,"Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans"
"merged_fishcard_12S_all_30","Taylor",34,0.99999999966004,NA
"merged_fishcard_12S_all_301","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Perciformes;Scorpaenidae;Scorpaena;Scorpaena guttata"
